Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
Accounting classification for financial assets is applied to Balance sheet recognised financial asset instrument(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,684805F4-C777-14AF-6645-FAB5C87F2545,3387,,Accounting classification for financial assets,Balance sheet recognised financial asset instrument,,,*,1,Y,N,None,N,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,511,D98528DD-4340-7068-DCF4-FC4EE2F41DB4,540,1
Accounting classification for financial assets is applied to Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,62318E99-35FE-41E4-AE25-462F706A903D,3388,,Accounting classification for financial assets,Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment,,,*,1,Y,N,None,Y,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,511,17E1B4A1-D286-0C7B-412E-060CBFE6C8A5,823,1
Accounting classification for financial liabilities classifies Balance sheet recognised exchange tradable derivative asset position,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,B36E4B03-7CD3-A326-4A20-DA3B42A3FD19,3389,,Accounting classification for financial liabilities,Balance sheet recognised exchange tradable derivative asset position,,,*,1,Y,N,None,N,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,512,CD8E5291-A87C-578E-7536-20CECA5FA9A0,537,1
Accounting classification for financial liabilities classifies Financial liability in the form of Debt security issued (by the reporting agent),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,F79F9B50-4EB2-5A02-7DDE-9EF1B08936E1,3390,,Accounting classification for financial liabilities,Debt security issued (by the reporting agent),,,*,1,Y,N,None,Y,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,512,101580C7-7A41-DBA0-F668-CA0B21D0D2A3,612,1
Accounting classification for financial liabilities is applied to Balance sheet recognised financial liability instrument(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,C5D39143-DE7C-78D4-3FEF-C4F06F124015,3391,,Accounting classification for financial liabilities,Balance sheet recognised financial liability instrument,,,*,1,Y,N,None,N,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,512,B5819EC6-25AB-CE81-2AF6-A357F93FAD4A,544,1
Accounting classification for financial liabilities specifies Balance sheet recognised exchange tradable derivative liability position,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,CC779237-1E1A-7E4C-3981-24D3D48EC0B2,3392,,Accounting classification for financial liabilities,Balance sheet recognised exchange tradable derivative liability position,,,*,1,Y,N,None,N,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,512,2F2741D3-5A9B-84B6-79A0-B1F2C0C6DB6E,539,1
Accounting hedge type classifies Debt security issued (by the reporting agent),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,BAFCCA3C-EBA2-296C-C1F8-C8A9DB552CE5,3393,,Accounting hedge type,Debt security issued (by the reporting agent),,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,514,101580C7-7A41-DBA0-F668-CA0B21D0D2A3,612,1
Accounting hedge type classifies Equity instrument that is not a security,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,D890C458-ECFE-6859-01DC-66EB60228335,3394,,Accounting hedge type,Equity instrument that is not a security,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,514,8A8D0D02-20AB-A34A-0960-5F899B0B8A56,647,1
Accounting hedge type classifies Loan (excluding repurchase agreement) and advance,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,5D0257F8-DFB0-6374-2496-53FAA95E0908,3395,,Accounting hedge type,Loan (excluding repurchase agreement) and advance,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,514,B6FD5D89-A17A-4780-AA57-0259F91E0630,792,1
Accounting hedge type classifies Over the counter (OTC) Derivative as a hedge,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,1C14BA74-97DA-DDAA-254D-967FF6802DC7,3396,,Accounting hedge type,Over the counter (OTC) Derivative as a hedge,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,514,EE7AABF7-53FD-1A4B-D940-7E228C87F604,960,1
