CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED
FINREP_REF_F_47.00_REF_FINREP 2.9,MTRCS,MTRCS,D,0,,MTRCS_F_47.00_MTRCS_REF,,M,,false,true,A repository for metrics variables,true
FINREP_REF_F_47.00_REF_FINREP 2.9,INSTTTNL_SCTR,INSTTTNL_SCTR,D,1,INSTTTNL_SCTR_F_47.00_INSTTTNL_SCTR_REF,,,B,,false,true,"Institutional sectors in accordance with Regulation (EU) No 549/2013, Regulation (EU) No 575/2013 and Regulation (EU) No 1075/2013 of the European Central Bank (ECB/2013/40)(1).",true
FINREP_REF_F_47.00_REF_FINREP 2.9,ENTRPRS_SZ,ENTRPRS_SZ,D,2,SZ_F_47.00_ENTRPRS_SZ_REF,,,B,,false,true,"Classification of enterprises by size, in accordance with the Annex to Commission Recommendation 2003/361/EC.",true
FINREP_REF_F_47.00_REF_FINREP 2.9,SUBA_CD,SUBA_CD,D,3,STRNG,,,U,,false,false,Entity identifier used for entities without LEI (ECB SUBA),true
FINREP_REF_F_47.00_REF_FINREP 2.9,TYP_INSTRMNT,TYP_INSTRMNT,D,4,TYP_INSTRMNT_F_47.00_TYP_INSTRMNT_REF,,,B,,false,true,Classification of the instrument according to the type of contractual terms agreed between the parties.,true
FINREP_REF_F_47.00_REF_FINREP 2.9,TYP_CLLTRL_GRNT_RCVD,TYP_CLLTRL_GRNT_RCVD,D,5,TYP_PRTCTN_F_47.00_TYP_CLLTRL_GRNT_RCVD_REF,,,B,,false,true,Type of collateral or guarantee received,true
FINREP_REF_F_47.00_REF_FINREP 2.9,DT_RFRNC,DT_RFRNC,D,7,DT,,,T,,false,false,"Reporting agents shall report credit data as recorded on the following reporting reference dates: (a) for monthly transmissions, on the last day of each month; (b) for quarterly transmissions, on the last day of March, June, September and December.",true
FINREP_REF_F_47.00_REF_FINREP 2.9,PRFRMNG_STTS,PRFRMNG_STTS,D,8,CRDT_QLTY_F_47.00_PRFRMNG_STTS_REF,,,B,,false,true,Performing status in accordance with Implementing Regulation (EU) No 680/2014.,true
FINREP_REF_F_46.00_REF_FINREP 3.0,MTRCS,MTRCS,D,0,,MTRCS_F_46.00_MTRCS_REF,,M,,false,true,A repository for metrics variables,true
FINREP_REF_F_46.00_REF_FINREP 3.0,TYP_ACCNTNG_ITM,TYP_ACCNTNG_ITM,D,1,TYP_ACCNTNG_ITM_F_46.00_TYP_ACCNTNG_ITM_REF,,,B,,false,true,Type of accounting item,true
