Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
ABSTRCT_INSTRMNT_RL_TYP,9B7BC6B7-A740-A5D9-0ADB-C720E66A5E34,600,,59931FDF-8E75-BD96-3057-1060F2324E7D,509,Y,Domain,,N,,,,CD328C69-0F1D-09CF-E2CA-2B27A0C9A75B,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Abstract instrument role type,String,,,,N,Y,ABSTRCT_INSTRMNT_RL,,,VARCHAR2,5,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,508,Enriched Input Layer 6.4,1,,
ACCMLTD_CHNG_NGTV,880EBCD9-9F83-9E63-5E53-1C71EF5843C5,601,,047E650D-CA92-F806-F392-42075133AEFD,515,Y,Domain,,N,,,,FAA20A39-31D6-458E-8297-A7FD01A6501F,224,LOGDT026,457,,,,,,,,,Y,Non-negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,CLLTRL,,,NUMBER,7,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,508,Enriched Input Layer 6.4,,,
ACCMLTD_CHNG_NGTV,8EBBA2EC-1634-87E5-358F-69BA2E3066B5,602,,59931FDF-8E75-BD96-3057-1060F2324E7D,509,Y,Domain,,N,,,,FAA20A39-31D6-458E-8297-A7FD01A6501F,224,LOGDT026,457,,,,,,,,,Y,Non-negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,ABSTRCT_INSTRMNT_RL,,,NUMBER,6,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,508,Enriched Input Layer 6.4,,,
ACCMLTD_CHNG_NGTV,F8D4F038-813D-D379-AD45-AC628D9502D1,603,,911F88D7-3E8F-8DEA-C35E-BF7ABDD0AA6E,564,N,Domain,,N,,,,FAA20A39-31D6-458E-8297-A7FD01A6501F,224,LOGDT026,457,,,,,,,,,Y,Non-negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,NN_FNNCL_ASST,,,NUMBER,12,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,508,Enriched Input Layer 6.4,,,
ACCMLTD_CHNGS_FV,3AB1E65C-BB96-C953-6CED-A845DC3B4961,604,,1249664E-1BF6-464E-ACD2-2912EC315F32,517,Y,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,280,LOGDT026,457,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,CRDT_FCLTY,,,NUMBER,5,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,508,Enriched Input Layer 6.4,,2,
ACCMLTD_CHNGS_FV,29C691B6-6B19-4236-BCD2-D4119FF21800,605,,59931FDF-8E75-BD96-3057-1060F2324E7D,509,N,Domain,,N,,,,FAA20A39-31D6-458E-8297-A7FD01A6501F,224,LOGDT026,457,,,,,,,,,Y,Non-negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,ABSTRCT_INSTRMNT_RL,,,NUMBER,54,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,508,Enriched Input Layer 6.4,,,
ACCMLTD_CHNGS_FV,E2F24E8E-98A9-4778-C32F-5EACEA7762E1,606,,9F421C51-81D2-1CA4-C087-DD73054CACA2,558,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,280,LOGDT026,457,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,NUMBER,27,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,508,Enriched Input Layer 6.4,,2,
ACCMLTD_CHNGS_FV,91F8D5AF-310F-087D-AD4B-5048D3647D90,607,,A0A7A9C6-3E78-9547-3005-5FCBBA0B9673,532,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,280,LOGDT026,457,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,EXCHNG_TRDBL_DRVTV_POSTN_RL,,,NUMBER,13,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,508,Enriched Input Layer 6.4,,2,
ACCMLTD_CHNGS_FV,DC39A2A7-6BDE-FE6B-56AE-E886BF4C03C0,608,,B1E5690A-06AC-64EA-90DF-15CE246EAF07,526,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,280,LOGDT026,457,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,DBT_SCRTY_ISSD,,,NUMBER,15,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,508,Enriched Input Layer 6.4,,2,
ACCMLTD_CHNGS_FV,C04C1855-D27D-61D0-92B6-DA221F97810B,609,,C90D678E-EB19-129D-06C6-1289B6CB3DA4,589,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,280,LOGDT026,457,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,SCRTY_PSTN,,,NUMBER,18,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,508,Enriched Input Layer 6.4,,2,
