Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
Abstract instrument role type,32CE7AED-EF83-4052-2F1F-3C89EF24C7BE,1169,,21979073-EB8D-2274-D417-60619E4EF596,509,Y,Domain,,,,,CD328C69-0F1D-09CF-E2CA-2B27A0C9A75B,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Abstract instrument role type,String,,,,,ABSTRCT_INSTRMNT_RL_TYP,,,Abstract instrument role,,,,1,1,,,
Accounting classification,3734CE74-2D6C-7ABA-B3E6-8D41C289FAFE,1170,,2F2741D3-5A9B-84B6-79A0-B1F2C0C6DB6E,539,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,CC779237-1E1A-7E4C-3981-24D3D48EC0B2,3392,Balance sheet recognised exchange tradable derivative liability position,,F,Accounting classification for financial liabilities specifies Balance sheet recognised exchange tradable derivative liability position,3,2,,,
Accounting classification,F799EB9C-9D18-4E62-B632-8C186CFBF0A8,1171,,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,Y,Domain,,,,,B55403CF-E495-4846-B034-10BB6A3F7AE2,3,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification applicable to off-balance sheet items,String,,,,,ACCNTNG_CLSSFCTN,,,Credit facility,,,,23,3,,,
Accounting classification,4F16D2F2-6CD4-3D16-0AB5-F958059F75B8,1172,,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,511,Y,Domain,,,,,7631EDCB-3034-4948-BBCA-3908FF5794F5,4,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification for assets,String,,,,,ACCNTNG_CLSSFCTN,,,Accounting classification for financial assets,P,,,1,2,,,
Accounting classification,211FCE7D-5938-EEA0-3326-CDD40E838077,1173,,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,512,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,,,Accounting classification for financial liabilities,P,,,1,2,,,
Accounting classification,4BEAFB4A-542B-27DA-14C4-6DE9097CB13F,1174,,87A7E2A8-7B0B-7ADB-78C7-5009CB4438EF,510,Y,Domain,,,,,88DEBCF8-9F9A-8601-FA1C-0E4B7A1D51DF,7,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification type,String,,,,,ACCNTNG_CLSSFCTN,,,Accounting classification,,,,1,1,,,
Accounting classification,F3C7061B-EDCC-8CB9-5055-CFF0E40AD9B0,1175,,101580C7-7A41-DBA0-F668-CA0B21D0D2A3,612,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,F79F9B50-4EB2-5A02-7DDE-9EF1B08936E1,3390,Debt security issued (by the reporting agent),P,F,Accounting classification for financial liabilities classifies Financial liability in the form of Debt security issued (by the reporting agent),4,2,,,
Accounting classification,9F7E9653-D2C5-1B57-07F8-8274CB5F7A7A,1176,,17E1B4A1-D286-0C7B-412E-060CBFE6C8A5,823,Y,Domain,,,,,7631EDCB-3034-4948-BBCA-3908FF5794F5,4,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification for assets,String,,,,,ACCNTNG_CLSSFCTN,62318E99-35FE-41E4-AE25-462F706A903D,3388,Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment,P,F,Accounting classification for financial assets is applied to Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment,8,2,,,
Accounting classification,52FC38F9-08B9-BB77-25AF-A458B51C41AF,1177,,B5819EC6-25AB-CE81-2AF6-A357F93FAD4A,544,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,C5D39143-DE7C-78D4-3FEF-C4F06F124015,3391,Balance sheet recognised financial liability instrument,,F,Accounting classification for financial liabilities is applied to Balance sheet recognised financial liability instrument(s),2,2,,,
Accounting classification,ADE0880F-1372-C328-FAE3-7B5F12B0775F,1178,,D98528DD-4340-7068-DCF4-FC4EE2F41DB4,540,Y,Domain,,,,,7631EDCB-3034-4948-BBCA-3908FF5794F5,4,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification for assets,String,,,,,ACCNTNG_CLSSFCTN,684805F4-C777-14AF-6645-FAB5C87F2545,3387,Balance sheet recognised financial asset instrument,,F,Accounting classification for financial assets is applied to Balance sheet recognised financial asset instrument(s),2,2,,,
Accounting classification,5E617008-A654-255B-D66C-9977D8E4360D,1179,,F7CE6C6C-5F4E-2BA8-B205-B1E9F0BB3D0E,906,Y,Domain,,,,,B55403CF-E495-4846-B034-10BB6A3F7AE2,3,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification applicable to off-balance sheet items,String,,,,,ACCNTNG_CLSSFCTN,,,Off-balance sheet item given instrument,,,,9,3,,,
Accounting classification,1946630E-A819-A654-E4E3-B32722335684,1180,,9CEA1E08-F628-512F-3E1B-DD6B6B517EB1,824,Y,Domain,,,,,7631EDCB-3034-4948-BBCA-3908FF5794F5,4,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification for assets,String,,,,,ACCNTNG_CLSSFCTN,F1D03CE8-E498-BD89-5CA1-6ADF2BA271E8,3655,Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment derived data,P,F,Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment may have Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment derived data,8,2,,,
Accounting classification,F62A3590-EA26-7D8D-AF1D-91C95DF7D27E,1181,,CD8E5291-A87C-578E-7536-20CECA5FA9A0,537,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,B36E4B03-7CD3-A326-4A20-DA3B42A3FD19,3389,Balance sheet recognised exchange tradable derivative asset position,,F,Accounting classification for financial liabilities classifies Balance sheet recognised exchange tradable derivative asset position,1,2,,,
Accounting classification,7350ED63-43C3-7B58-11B0-00A04395D541,1182,,8F67F20B-41BF-6D1D-9D6F-D70B8FCC1937,613,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,7AEEABF3-5492-AAD1-53FA-4D2309EA7B5F,3486,Debt security issued (by the reporting agent) Traditional securitisation assignment,P,F,Debt security issued (by the reporting agent) comprises Debt security issued (by the reporting agent) Traditional securitisation assignment,7,2,,,
Accounting hedge indicator,B18A7A81-90B8-3F1C-E981-73A176B7292C,1183,,8A8D0D02-20AB-A34A-0960-5F899B0B8A56,647,Y,Domain,,,,,67BB8028-D0A7-E1BE-DD13-29EB4D4788D9,9,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Accounting hedge indicator,String,,,,,ACCNTNG_HDG_INDCTR,D890C458-ECFE-6859-01DC-66EB60228335,3394,Equity instrument that is not a security,,F,Accounting hedge type classifies Equity instrument that is not a security,1,1,,,
