Logical_Model_ID,Num_Logical_Model_ID,Logical_Model_Name,Logical_Object_ID,Num_Logical_Object_ID,Logical_Object_Name,Relational_Model_ID,Num_Relational_Model_ID,Relational_Model_Name,Relational_Object_ID,Num_Relational_Object_ID,Relational_Object_Name,Entity_Name,Table_Name,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,009D82B4-B95F-3EF6-691E-B659F8A4803F,1489,Credit card debt Instrument Reference date,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,0,Enriched Input Layer 6.4,38120563-4CF1-D0F1-A22C-F57FF87C0D6A,0,DT_RFRNC,Credit card debt Creditor assignment,INSTRMNT_ENTTY_RL_ASSGNMNT,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,00A4B371-AB6B-CA55-002E-4BE6E3F9ED49,1901,Gross carrying amount,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,0,Enriched Input Layer 6.4,2F2CB83E-EFCE-FE83-241D-A831B77BAB2F,0,GRSS_CRRYNG_AMNT,"Property, plant and equipment taken into possession",NN_FNNCL_ASST,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,00A742EC-C653-8B15-9108-F65DE9BC4715,1185,Accounting hedge indicator,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,0,Enriched Input Layer 6.4,5BDA1AA4-C39D-0172-3244-DB007843C46D,0,ACCNTNG_HDG_INDCTR,Over the counter (OTC) Derivative as a hedge,ABSTRCT_INSTRMNT_RL,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,00C06761-A30E-8A55-7B87-C6CBE5AC8D90,2807,Security borrowing and lending transaction Instrument Reporting agent identifier,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,0,Enriched Input Layer 6.4,9BD7C306-828E-9B01-5D99-2189B91C8A54,0,RPRTNG_AGNT_ID,Security borrowing and lending transaction Lender assignment,INSTRMNT_ENTTY_RL_ASSGNMNT,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,00CAEA22-F905-AEF4-A9FA-68F176120296,2709,Reference date,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,0,Enriched Input Layer 6.4,B9911B5E-04FD-3E7E-9C4F-A6FC3F1C4593,0,DT_RFRNC,Interest rate risk hedge portfolio,INTRST_RT_RSK_HDG_PRTFL,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,00DE4529-489E-518B-B353-897E4FAA4620,1235,Accumulated recoveries since default,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,0,Enriched Input Layer 6.4,44905042-E990-1580-1E9D-9AE7C9DF9DF5,0,CMLTV_RCVRS_SNC_DFLT,Non-retail exposure financial asset instrument,ABSTRCT_INSTRMNT_RL,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,00FC4A2F-6877-45C7-737D-B4C96BE264A7,1860,Financial guarantee Instrument Reporting agent identifier,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,0,Enriched Input Layer 6.4,9BD7C306-828E-9B01-5D99-2189B91C8A54,0,RPRTNG_AGNT_ID,Financial guarantee instrument Beneficiary assignment,INSTRMNT_ENTTY_RL_ASSGNMNT,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,016CB6B7-1D08-085D-C245-6793F7AB017C,2876,Security Reporting agent identifier,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,0,Enriched Input Layer 6.4,AB25F8F9-9F35-AB3E-227A-C168DCC27900,0,RPRTNG_AGNT_ID,Fundamental review of the trading book standard approach risk measure for security positions,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,018B96D8-9F06-E56D-3835-6243452AF5BB,2611,"Property, plant and equipment not taken into possession reference date",DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,0,Enriched Input Layer 6.4,A6BAE990-8D75-58A8-1FBE-892C4D48C4D2,0,DT_RFRNC,"Software collateral Software property, plant and equipment not taken into possession assignment",CLLTRL_NN_FNNCL_ASST_ASSGNMNT,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,01E09A95-82CC-2899-370C-A2F091428A2F,2192,Litigation status,DAAC984B-B2E8-C145-BF34-9BFB502D9CBB,0,Enriched Input Layer 6.4,86A5626E-642C-39E0-2C30-7E8608D6AAC2,0,LTGTN_STTS,Long debt security position,SCRTY_PSTN,
