Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
Accounting classification for financial assets classifies Balance sheet recognised exchange tradable derivative asset position,DA75945B-3FE1-4CE1-31BE-32494C407F7E,564,B36E4B03-7CD3-A326-4A20-DA3B42A3FD19,4686,,Accounting classification for financial assets,Balance sheet recognised exchange tradable derivative asset position,,,*,1,Y,N,None,N,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,567,CD8E5291-A87C-578E-7536-20CECA5FA9A0,603,1
Accounting classification for financial assets is applied to Balance sheet recognised financial asset instrument(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,564,684805F4-C777-14AF-6645-FAB5C87F2545,4687,,Accounting classification for financial assets,Balance sheet recognised financial asset instrument,,,*,1,Y,N,None,N,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,567,D98528DD-4340-7068-DCF4-FC4EE2F41DB4,608,1
Accounting classification for financial assets is applied to Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,564,62318E99-35FE-41E4-AE25-462F706A903D,4688,,Accounting classification for financial assets,Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment,,,*,1,Y,N,None,Y,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,567,17E1B4A1-D286-0C7B-412E-060CBFE6C8A5,922,1
Accounting classification for financial liabilities classifies Financial liability in the form of Debt security issued (by the reporting agent),DA75945B-3FE1-4CE1-31BE-32494C407F7E,564,F79F9B50-4EB2-5A02-7DDE-9EF1B08936E1,4689,,Accounting classification for financial liabilities,Debt security issued (by the reporting agent),,,*,1,Y,N,None,Y,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,568,101580C7-7A41-DBA0-F668-CA0B21D0D2A3,689,1
Accounting classification for financial liabilities is applied to Balance sheet recognised financial liability instrument(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,564,C5D39143-DE7C-78D4-3FEF-C4F06F124015,4690,,Accounting classification for financial liabilities,Balance sheet recognised financial liability instrument,,,*,1,Y,N,None,N,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,568,B5819EC6-25AB-CE81-2AF6-A357F93FAD4A,612,1
Accounting classification for financial liabilities specifies Balance sheet recognised exchange tradable derivative liability position,DA75945B-3FE1-4CE1-31BE-32494C407F7E,564,CC779237-1E1A-7E4C-3981-24D3D48EC0B2,4691,,Accounting classification for financial liabilities,Balance sheet recognised exchange tradable derivative liability position,,,*,1,Y,N,None,N,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,568,2F2741D3-5A9B-84B6-79A0-B1F2C0C6DB6E,607,1
Accounting consolidation level classifies Model Context,DA75945B-3FE1-4CE1-31BE-32494C407F7E,564,7E10CE4D-5E5F-9EAA-0CDE-F48B4F16C26E,4692,,Accounting consolidation level,Model Context,,,*,1,Y,N,None,Y,7F36D338-18D0-26CE-70F4-9B8A41B186C6,570,23700D94-7BD4-B730-CE3A-BD73D77FEEAE,944,1
Accounting hedge type classifies Debt security issued (by the reporting agent) as a hedge,DA75945B-3FE1-4CE1-31BE-32494C407F7E,564,BAFCCA3C-EBA2-296C-C1F8-C8A9DB552CE5,4693,,Accounting hedge type,Debt security issued (by the reporting agent) as a hedge,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,571,FAEB9B83-BE89-F719-6667-BF2DE4448BFE,690,1
Accounting hedge type classifies Equity instrument that is not a security as a hedge,DA75945B-3FE1-4CE1-31BE-32494C407F7E,564,D890C458-ECFE-6859-01DC-66EB60228335,4694,,Accounting hedge type,Equity instrument that is not a security as a hedge,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,571,30FE22A5-7D6D-B178-7F24-11F6D029B691,729,1
Accounting hedge type classifies Loan (excluding repurchase agreement) and advance as a hedge,DA75945B-3FE1-4CE1-31BE-32494C407F7E,564,5D0257F8-DFB0-6374-2496-53FAA95E0908,4695,,Accounting hedge type,Loan (excluding repurchase agreement) and advance as a hedge,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,571,D249222E-C88E-947C-2B2E-F8F931CFDCCB,888,1
