CODE,NAME,DESCRIPTION,MEMBER_ID,DOMAIN_ID,MAINTENANCE_AGENCY_ID,LDM_ENTITY_CODE,LDM_ENTITY_NAME,LDM_LINKED_ENTITIES,
10,OTC Option other than OTC Credit spread option,OTC Option other than OTC Credit spread option,TYP_INSTRMNT_10,TYP_INSTRMNT,ECB,BIRD_OTHR_OTC_OPTN_LDM,Over the counter OTC Option other than Over the counter OTC Credit spread option,
1000,Deposits other than reverse repurchase agreements,Deposits as defined in paragraph 5.79 of Annex A to Regulation (EU) No 549/2013 other than reverse repurchase agreements,TYP_INSTRMNT_1000,TYP_INSTRMNT,ECB,BIRD_DPST_LDM,Deposits,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
1001,Revolving credit other than overdrafts and credit card debt,"Credit that has the following features: (i)  the debtor may use or withdraw funds up to a pre-approved credit limit without giving prior notice to the creditor,,,
(ii)  the amount of available credit can increase and decrease as funds are borrowed and repa",TYP_INSTRMNT_1001,TYP_INSTRMNT,ECB,,,
1002,Credit lines other than revolving credit,"Credit that has the following features:(i)         the debtor may use or withdraw funds up to a pre-approved credit limit without giving prior notice to the creditor;(ii)        the credit may be used repeatedly; and(iii)       it is not revolving credit,",TYP_INSTRMNT_1002,TYP_INSTRMNT,ECB,,,
1003,Reverse repurchase agreements,Reverse repurchase agreements as defined Part 2.14 of Annex V to Implementing Regulation (EU) No 680/2014.,TYP_INSTRMNT_1003,TYP_INSTRMNT,ECB,,,
1004,"Loans other than overdrafts, convenience credit, extended credit, credit card credit, revolving credit other than credit card credit, reverse repurchase agreements, trade receivables and financial leases","Loans, as defined in paragraphs 5.112, 5.113 and 5.114 of Annex A to Regulation (EU) No 549/2013, except overdrafts, convenience credit, extended credit, credit card credit, revolving credit other than credit card credit, reverse repurchase agreements, trade receivables and financial leases",TYP_INSTRMNT_1004,TYP_INSTRMNT,ECB,,,
1011,Other commitments,Other commitments as defined in paragraph 59 of Part 2 of Annex V to Implementing Regulation (EU) No 680/2014.,TYP_INSTRMNT_1011,TYP_INSTRMNT,ECB,,,
1015,"Financial guarantees given, Other commitments given","Financial guarantees given, Other commitments given",TYP_INSTRMNT_1015,TYP_INSTRMNT,ECB,,,
1020,Factoring,Factoring,TYP_INSTRMNT_1020,TYP_INSTRMNT,ECB,,,
1022,Other loans,"Loans as defined in point 5(112) to (138) of Annex A to Regulation (EU) No 549/2013 other than financial leases, reverse repurchase loans, credit card debt, current accounts (that are assets), factoring and other trade receivables. Please note that it also does not include Other deposits (w.r.t. ESA classification).",TYP_INSTRMNT_1022,TYP_INSTRMNT,ECB,BIRD_OTHR_LN_LDM,Other loan,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
1022,Other loans,"Loans as defined in point 5(112) to (138) of Annex A to Regulation (EU) No 549/2013 other than financial leases, reverse repurchase loans, credit card debt, current accounts (that are assets), factoring and other trade receivables. Please note that it also does not include Other deposits (w.r.t. ESA classification).",TYP_INSTRMNT_1022,TYP_INSTRMNT,ECB,BIRD_LNG_NN_NGTBL_SCRTY_PSTN_LDM,Long non negotiable security position,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM
1023,Other trade receivables,"Trade receivables as defined in Regulation (EU) No 680/2014, Annex V, Part 2.41 (c) other than factoring. Among other things, this category includes outright purchase of trade receivables and discounting of invoices, bills of exchange and other claims.",TYP_INSTRMNT_1023,TYP_INSTRMNT,ECB,,,
114,"Term loans Other than Trade receivables, Credit card balance, Finance leases, Reverse repurchase agreements, on demand and short notice.","Term loans Other than Trade receivables/payables, Credit card balance, Finance leases, Reverse repurchase loans, on demand and short notice.",TYP_INSTRMNT_114,TYP_INSTRMNT,ECB,,,
12,Deposit redeemable at notice,Deposit redeemable at notice,TYP_INSTRMNT_12,TYP_INSTRMNT,ECB,,,
120,Transit items,Transit items,TYP_INSTRMNT_120,TYP_INSTRMNT,ECB,,,
13,Financial guarantee instrument for a Debt security,Financial guarantee instrument for a Debt security,TYP_INSTRMNT_13,TYP_INSTRMNT,ECB,,,
130,Suspence items,Suspence items,TYP_INSTRMNT_130,TYP_INSTRMNT,ECB,,,
14,Financial guarantee instrument not for a Debt security,Financial guarantee instrument not for a Debt security,TYP_INSTRMNT_14,TYP_INSTRMNT,ECB,,,
140,Advances that are not loans other than transit items and suspence items,Advances that are not loans other than transit items and suspence items,TYP_INSTRMNT_140,TYP_INSTRMNT,ECB,,,
141,Advances that are not loans,Advances that are not loans,TYP_INSTRMNT_141,TYP_INSTRMNT,ECB,,,
149,Loans and advances,Loans and advances,TYP_INSTRMNT_149,TYP_INSTRMNT,ECB,BIRD_DPST_LDM,Deposits,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
149,Loans and advances,Loans and advances,TYP_INSTRMNT_149,TYP_INSTRMNT,ECB,BIRD_OTHR_LN_LDM,Other loan,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
149,Loans and advances,Loans and advances,TYP_INSTRMNT_149,TYP_INSTRMNT,ECB,BIRD_LNG_NN_NGTBL_SCRTY_PSTN_LDM,Long non negotiable security position,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM
1491,Commercial real estate (CRE) loans,"A loan aimed at acquiring a CRE property (or set of CRE properties) or secured by a CRE property (or set of CRE properties), as described in ESRB/2016/14.",TYP_INSTRMNT_1491,TYP_INSTRMNT,ECB,,,
1661,"Deposits, Debt securities","Deposits, Debt securities",TYP_INSTRMNT_1661,TYP_INSTRMNT,ECB,,,
1662,"Deposits, Debt securities, Other financial liabilities","Deposits, Debt securities, Other financial liabilities",TYP_INSTRMNT_1662,TYP_INSTRMNT,ECB,,,
1663,"Derivatives, Short positions, Deposits, Debt securities, Other financial liabilities","Derivatives, Short positions, Deposits, Debt securities, Other financial liabilities",TYP_INSTRMNT_1663,TYP_INSTRMNT,ECB,,,
1664,"Derivatives, Deposits, Debt securities","Derivatives, Deposits, Debt securities",TYP_INSTRMNT_1664,TYP_INSTRMNT,ECB,,,
18,Term repurchase agreement instrument,,TYP_INSTRMNT_18,TYP_INSTRMNT,ECB,,,
19,Open repurchase agreement instrument,,TYP_INSTRMNT_19,TYP_INSTRMNT,ECB,,,
2,Equity instrument that is not a security,Equity instrument that is not a security,TYP_INSTRMNT_2,TYP_INSTRMNT,ECB,,,
20,Overdrafts,Overdraft as defined in point 2(1)(c) of the Table in Part 2 of Annex II to Regulation (EU) No 1071/2013 (ECB/2013/33).,TYP_INSTRMNT_20,TYP_INSTRMNT,ECB,,,
210,Debt securities,Debt securities,TYP_INSTRMNT_210,TYP_INSTRMNT,ECB,,,
2102,Certificates of deposits,Certificates of deposits,TYP_INSTRMNT_2102,TYP_INSTRMNT,ECB,,,
2104,Hybrid contracts,Hybrid contracts,TYP_INSTRMNT_2104,TYP_INSTRMNT,ECB,,,
2105,Other debt securities issued,Other debt securities issued,TYP_INSTRMNT_2105,TYP_INSTRMNT,ECB,,,
2106,Other debt securities issued - convertible compound financial instruments,Other debt securities issued - convertible compound financial instruments,TYP_INSTRMNT_2106,TYP_INSTRMNT,ECB,,,
2107,Other debt securities issued - non-convertible,Other debt securities issued - non-convertible,TYP_INSTRMNT_2107,TYP_INSTRMNT,ECB,,,
211,Debt securities - Asset backed securities (ABS),Asset backed securities according to Article 4(1)(61) of CRR.,TYP_INSTRMNT_211,TYP_INSTRMNT,ECB,,,
212,Debt securities - Covered bonds,A covered bond is debt security that is secured by the underlying asset pool. In case of default of the issuer of the covered bond the holder of the covered bond receives a claim on the underlying asset pool.,TYP_INSTRMNT_212,TYP_INSTRMNT,ECB,,,
213,"Debt securities, Equity instruments","Debt securities, Equity instruments",TYP_INSTRMNT_213,TYP_INSTRMNT,ECB,,,
220,Shares,Shares,TYP_INSTRMNT_220,TYP_INSTRMNT,ECB,,,
240,Investment fund shares/units,Investment fund shares/units,TYP_INSTRMNT_240,TYP_INSTRMNT,ECB,,,
241,Equity instruments,Equity instruments,TYP_INSTRMNT_241,TYP_INSTRMNT,ECB,,,
251,"Debt securities, Loans and advances","Debt securities, Loans and advances",TYP_INSTRMNT_251,TYP_INSTRMNT,ECB,,,
252,"Equity instruments, debt securities, loans and advances","Equity instruments, debt securities, loans and advances",TYP_INSTRMNT_252,TYP_INSTRMNT,ECB,,,
26,Security against a fee borrowing and lending transaction,,TYP_INSTRMNT_26,TYP_INSTRMNT,ECB,,,
260,Current accounts,Current accounts,TYP_INSTRMNT_260,TYP_INSTRMNT,ECB,,,
27,Security against Security borrowing and lending transaction,,TYP_INSTRMNT_27,TYP_INSTRMNT,ECB,,,
300,Repurchase agreements,Repurchase agreements,TYP_INSTRMNT_300,TYP_INSTRMNT,ECB,,,
310,Derivatives,Derivatives,TYP_INSTRMNT_310,TYP_INSTRMNT,ECB,,,
3101,Credit default swap,Credit default swap,TYP_INSTRMNT_3101,TYP_INSTRMNT,ECB,,,
3102,Credit spread option,Credit spread option,TYP_INSTRMNT_3102,TYP_INSTRMNT,ECB,,,
3103,Total return swap,Total return swap,TYP_INSTRMNT_3103,TYP_INSTRMNT,ECB,,,
