MAINTENANCE_AGENCY_ID,VARIABLE_ID,CODE,NAME,DOMAIN_ID,DESCRIPTION,PRIMARY_CONCEPT,IS_DECOMPOSED
ECB,AE_ITM_TYP_INSTRMNT,AE_ITM_TYP_INSTRMNT,Asset encumbrance item specifying details about the instrument,AE_ITM,Specifies if the Type of instrument is an Asset or a Collateral received.,,true
ECB,ENCMBRD_ASST_CLLTRL_RCVD,ENCMBRD_ASST_CLLTRL_RCVD,Encumbered asset or collateral received,SRC_ENCMBRNC,Identifies encumbered assets or encumbered collateral received.,,true
ECB,ACCMLTD_CHNG_NGTV_CLLTRL_OBTND_PRD,ACCMLTD_CHNG_NGTV_CLLTRL_OBTND_PRD,Accumulated negative changes for collateral obtained during the period (flow),MNTRY,Accumulated negative changes for collateral obtained during the period (flow),,true
ECB,CSH_CLLCTD_EXCHNG_SLD_CLLTRL,CSH_CLLCTD_EXCHNG_SLD_CLLTRL,Cash collected net of costs in exchange of sold collateral,MNTRY,Cash collected net of costs in exchange of sold collateral,,true
ECB,FV_INSTRMNT_RPLC_SLD_CLLTRL,FV_INSTRMNT_RPLC_SLD_CLLTRL,Fair value of financial instruments replacing collateral sold,MNTRY,Fair value of financial instruments replacing collateral sold,FV,true
ECB,INCRS_ DSCNTD_AMNT_DSCNT_RT,INCRS_ DSCNTD_AMNT_DSCNT_RT,Increase in the discounted amount and effect of any change in the discount rate,MNTRY,Increase in the discounted amount and effect of any change in the discount rate,,true
ECB,ACCNTNG_PRTFL_LNKD_ASSTS,ACCNTNG_PRTFL_LNKD_ASSTS,Accounting portfolio of the  asset linked to liability,ACCNTNG_CLSSFCTN,Accounting portfolio of the  asset linked to liability,,true
ECB,CLLTRL_MXMM_AMNT_CNSDRD,CLLTRL_MXMM_AMNT_CNSDRD,Maximum amount of the collateral that can be considered,MNTRY,Maximum amount of the collateral that can be considered,,true
ECB,UNSD_AMNT_RVRSD_DRNG_PRD,UNSD_AMNT_RVRSD_DRNG_PRD,Unused amounts reversed during the period,MNTRY,Unused amounts reversed during the period,,true
ECB,TRNSFR_AMNG_EQTY_CMPNNT,TRNSFR_AMNG_EQTY_CMPNNT,Transfers among components of Equity,MNTRY,Transfers among components of Equity,,true
ECB,ACCMLTD_CHNG_NGTV_FV_CR,ACCMLTD_CHNG_NGTV_FV_CR,Accumulated changes in fair value due to credit risk - negative,MNTRY,Accumulated changes in fair value due to credit risk - negative,,true
ECB,GRSS_CRRYNG_AMNT_CLLTRL_OBTND_PRD,GRSS_CRRYNG_AMNT_CLLTRL_OBTND_PRD,Gross carrying amount of Collateral obtained during the period (flow),MNTRY,Gross carrying amount of Collateral obtained during the period (flow),GRSS_CRRYNG_AMNT,true
ECB,CHNG_ALLWNC_MDFCTN_WTHT_DRCGNT,CHNG_ALLWNC_MDFCTN_WTHT_DRCGNT,Changes in allowances due to modifications without derecognition,MNTRY,Changes in allowances due to modifications without derecognition,,true
ECB,CHNG_ALLWNC_CHNG_CR,CHNG_ALLWNC_CHNG_CR,Changes in allowances due to change in credit risk (net),MNTRY,Changes in allowances due to change in credit risk (net),,true
ECB,AMNT_WRTTN_OFF_STTMNT_PRFT_LSS,AMNT_WRTTN_OFF_STTMNT_PRFT_LSS,Amounts written-off directly to the statement of profit or loss,MNTRY,Amounts written-off directly to the statement of profit or loss,,true
ECB,RCVR_TO_STTMNT_PRFT_LSS,RCVR_TO_STTMNT_PRFT_LSS,Recoveries recorded directly to the statement of profit or loss,MNTRY,Recoveries recorded directly to the statement of profit or loss,,true
ECB,INCRS_ALLWNC_DRCGNTN,INCRS_ALLWNC_DRCGNTN,Decreases in allowances due to derecognition,MNTRY,Decreases in allowances due to derecognition,,true
ECB,OTHR_ALLWNC_ADJSTMNT,OTHR_ALLWNC_ADJSTMNT,Other adjustments in allowances,MNTRY,Other adjustments in allowances,,true
ECB,GN_LSS_DRCGNTN,GN_LSS_DRCGNTN,Gains and losses on derecognition,MNTRY,Gains and losses on derecognition,,true
ECB,CHNG_ALLWNC_UPDT_MTHD_ESTMTN,CHNG_ALLWNC_UPDT_MTHD_ESTMTN,Changes in allowances due to update in methodology for estimation (net),MNTRY,Changes in allowances due to update in methodology for estimation (net),,true
ECB,DCRS_ALLWNC_WRT_OFF,DCRS_ALLWNC_WRT_OFF,Decrease in allowances due to write-offs,MNTRY,Decrease in allowances due to write-offs,,true
ECB,INCRS_ALLWNC,INCRS_ALLWNC,Increases in allowances,MNTRY,Increases in allowances,,true
ECB,TRNSFRD_TO_PRFT_LSS,TRNSFRD_TO_PRFT_LSS,Transferred to profit or loss,MNTRY,Transferred to profit or loss,,true
ECB,CRRYNG_AMNT_CLLTRL_OBTND_PRD,CRRYNG_AMNT_CLLTRL_OBTND_PRD,Carrying amount of Collateral obtained during the period,MNTRY,Carrying amount of Collateral obtained during the period,,true
ECB,TYP_CLLTRL_GRNT_GVN,TYP_CLLTRL_GRNT_GVN,Type of collateral or guarantee given,TYP_PRTCTN,Type of collateral or guarantee given,,true
ECB,CRRNT_PRD,CRRNT_PRD,Current period (flow),MNTRY,Economic flow in the balance sheet statement of profit and loss,,true
ECB,HLDNG_ENTTY_CD,HLDNG_ENTTY_CD,Holding company code,STRNG,Holding company code,ENTTY_CD,true
ECB,TYP_DFND_BNFT_PLN_ASSTS,TYP_DFND_BNFT_PLN_ASSTS,Type of defined benefit plan assets,TYP_INSTRMNT,Type of defined benefit plan assets,,true
ECB,INSTRMNT_NMBR,INSTRMNT_NMBR,Number of instruments,INTGR,Number of instruments,,true
ECB,PSTN_INSTRMNT,PSTN_INSTRMNT,Position of the instrument,PSTN_INSTRMNT,"For instruments in which the reporting institution can hold different postions, this variable serves to identify that position.",,true
ECB,AMNT_USD,AMNT_USD,Amounts used,MNTRY,Amounts used,,true
ECB,IMPRMNT_LSS_RVRSL,IMPRMNT_LSS_RVRSL,Impairment loss reversals,MNTRY,Impairment loss reversals,,true
ECB,SHRT_PSTN_INDCTR,SHRT_PSTN_INDCTR,Short position indicator,SHRT_PSTN_INDCTR,A variable identifying the obligation to deliver a security by an entity that sells the security it has borrowed and does not yet own.,,true
ECB,TTL_CMPRHNSV_INCM,TTL_CMPRHNSV_INCM,Total comprehensive income,MNTRY,Total comprehensive income,,true
ECB,CRRYNG_AMNT_CLLTRL_OBTND,CRRYNG_AMNT_CLLTRL_OBTND,Carrying amount of Collateral obtained,MNTRY,Carrying amount of Collateral obtained,CRRYNG_AMNT,true
