MAINTENANCE_AGENCY_ID,VARIABLE_SET_ID,NAME,CODE,DESCRIPTION
ECB,MTRCS_F_14.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_14.00,MTRCS_F_14.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_14.00
ECB,MTRCS_F_23.06_MTRCS_REF,Variable Set for MTRCS of the Cube F_23.06,MTRCS_F_23.06_MTRCS_REF,Variable Set for MTRCS of the Cube F_23.06
ECB,3120023406042092780_REF,EBA_ATY(EBA_md69) - Reference,3120023406042092780_REF,EBA_ATY(EBA_md69) - Reference
ECB,17186128226079046680_REF,EBA_ATY(EBA_md216) - Reference,17186128226079046680_REF,EBA_ATY(EBA_md216) - Reference
ECB,4155188227603224196_REF,EBA_ATY(EBA_md685) - Reference,4155188227603224196_REF,EBA_ATY(EBA_md685) - Reference
ECB,MTRCS_F_45.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_45.03,MTRCS_F_45.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_45.03
ECB,4238432481266399990_REF,EBA_ATY(EBA_si169) - Reference,4238432481266399990_REF,EBA_ATY(EBA_si169) - Reference
ECB,16298269021191872769_REF,EBA_ATY(EBA_md252) - Reference,16298269021191872769_REF,EBA_ATY(EBA_md252) - Reference
ECB,10447639641125854752_REF,EBA_ATY(EBA_md13) - Reference,10447639641125854752_REF,EBA_ATY(EBA_md13) - Reference
ECB,1688043581793220531_REF,EBA_ATY(EBA_md60) - Reference,1688043581793220531_REF,EBA_ATY(EBA_md60) - Reference
ECB,15832968684166532116_REF,EBA_ATY(EBA_mi110) - Reference,15832968684166532116_REF,EBA_ATY(EBA_mi110) - Reference
ECB,MTRCS_F_23.05_MTRCS_REF,Variable Set for MTRCS of the Cube F_23.05,MTRCS_F_23.05_MTRCS_REF,Variable Set for MTRCS of the Cube F_23.05
ECB,MTRCS_F_19.00.e_MTRCS_REF,Variable Set for MTRCS of the Cube F_19.00.e,MTRCS_F_19.00.e_MTRCS_REF,Variable Set for MTRCS of the Cube F_19.00.e
ECB,15781102108515958179_REF,EBA_ATY(EBA_md197) - Reference,15781102108515958179_REF,EBA_ATY(EBA_md197) - Reference
ECB,MTRCS_F_20.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_20.03,MTRCS_F_20.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_20.03
