CELL_ID,AXIS_ORDINATE_ID
127151_REF,FINREP_REF_F_00_01_REF_FINREP_1_010
127151_REF,FINREP_REF_F_00_01_REF_FINREP_2_010
127152_REF,FINREP_REF_F_00_01_REF_FINREP_1_010
127152_REF,FINREP_REF_F_00_01_REF_FINREP_2_020
2739705_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_020
2739705_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_020
2739706_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_020
2739706_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_030
2739707_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_020
2739707_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_010
2739708_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_010
2739708_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_020
2739709_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_010
2739709_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_030
2739710_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_010
2739710_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_010
2739711_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_030
2739711_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_010
2739712_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_030
2739712_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_020
2739713_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_030
2739713_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_030
2739714_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739714_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_010
2739715_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739715_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_020
2739716_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739716_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_030
2739717_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739717_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_040
2739718_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739718_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_050
2739719_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739719_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_060
2739720_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739720_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_061
2739721_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739721_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_062
2739722_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739722_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_063
2739723_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739723_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_064
2739724_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739724_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_065
2739725_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739725_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_066
2739726_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739726_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_070
2739727_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739727_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_080
2739728_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739728_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_090
2739729_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739729_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_100
2739730_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739730_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_110
2739731_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739731_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_120
2739732_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739732_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_130
2739733_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739733_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_140
2739734_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739734_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_141
2739735_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739735_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_142
2739736_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739736_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_143
2739737_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739737_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_144
2739738_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739738_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_150
2739739_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739739_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_160
2739740_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739740_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_170
2739741_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739741_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_180
2739742_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739742_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_190
2739743_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739743_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_200
2739744_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739744_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_210
2739745_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2739745_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_220
2739746_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739746_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_010
2739747_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739747_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_020
2739748_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739748_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_030
2739749_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739749_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_040
2739750_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739750_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_050
2739751_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739751_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_060
2739752_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739752_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_061
2739753_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739753_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_062
2739754_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739754_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_063
2739755_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739755_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_064
2739756_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739756_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_065
2739757_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739757_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_066
2739758_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739758_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_070
2739759_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739759_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_080
2739760_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
