COMBINATION_ID,VARIABLE_ID,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,MEMBER_HIERARCHY
45693_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45693_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45693_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
45693_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_252,
45693_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45691_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45691_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45691_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_3,
45691_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_241,
45691_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45690_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45690_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45690_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_3,
45690_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
45690_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45694_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45694_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45694_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
45694_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
45694_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45692_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45692_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45692_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_3,
45692_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_241,
45692_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45671_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45671_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45671_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S1_MDB,
45671_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_241,
45671_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
67577_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
67577_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
67577_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S12_D,
67577_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_241,
67577_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45677_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45677_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45677_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S11,
45677_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_241,
45677_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45668_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45668_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45668_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S121,
45668_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
45668_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45673_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45673_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45673_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S13_IO,
45673_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
45673_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45670_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45670_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45670_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S1_MDB,
45670_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
45670_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
67576_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
67576_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
67576_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S12_D,
67576_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
67576_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45676_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45676_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45676_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S11,
45676_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
45676_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45669_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45669_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45669_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S121,
45669_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
45669_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45674_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45674_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45674_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S13_IO,
45674_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
45674_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45672_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45672_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45672_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S1_MDB,
45672_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
45672_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
67578_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
67578_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
67578_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S12_D,
67578_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
67578_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45678_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45678_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45678_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S11,
45678_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
45678_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
45675_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
45675_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
45675_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S1_A,
45675_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
45675_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
151777_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151777_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151777_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_3,
151777_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
151777_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151770_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151770_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151770_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S13_IO,
151770_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
151770_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151766_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151766_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151766_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S121,
151766_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
151766_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151768_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151768_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151768_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S1_MDB,
151768_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
151768_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151775_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151775_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151775_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S12_D,
151775_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
151775_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151773_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151773_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151773_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S11,
151773_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
151773_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151779_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151779_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151779_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151779_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
151779_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151767_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151767_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151767_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S121,
151767_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
151767_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151771_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151771_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151771_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S13_IO,
151771_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
151771_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151769_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151769_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151769_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S1_MDB,
151769_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
151769_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151776_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151776_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151776_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S12_D,
151776_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
151776_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151774_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151774_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151774_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S11,
151774_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
151774_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151772_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151772_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151772_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S1_A,
151772_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_149,
151772_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
151778_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_7,
151778_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151778_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151778_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_252,
151778_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
11931_REF,SBJCT_OPRTNG_LS_INDCTR,,,SBJCT_OPRTNG_LS_INDCTR_1,
11934_REF,SBJCT_OPRTNG_LS_INDCTR,,,SBJCT_OPRTNG_LS_INDCTR_1,
11777_REF,SBJCT_OPRTNG_LS_INDCTR,,,SBJCT_OPRTNG_LS_INDCTR_1,
11788_REF,SBJCT_OPRTNG_LS_INDCTR,,,SBJCT_OPRTNG_LS_INDCTR_1,
11785_REF,SBJCT_OPRTNG_LS_INDCTR,,,SBJCT_OPRTNG_LS_INDCTR_1,
11919_REF,SBJCT_OPRTNG_LS_INDCTR,,,SBJCT_OPRTNG_LS_INDCTR_1,
11915_REF,SBJCT_OPRTNG_LS_INDCTR,,,SBJCT_OPRTNG_LS_INDCTR_1,
11923_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
11923_REF,SBJCT_OPRTNG_LS_INDCTR,,,SBJCT_OPRTNG_LS_INDCTR_1,
113157_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
113157_REF,SBJCT_OPRTNG_LS_INDCTR,,,SBJCT_OPRTNG_LS_INDCTR_1,
11502_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
11502_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
11502_REF,TYP_RSK,,,TYP_RSK_-1,
11502_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
11502_REF,TYP_HDG,,,TYP_HDG_-1,
151494_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151494_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
