MAINTENANCE_AGENCY_ID,CUBE_LINK_ID,CODE,NAME,DESCRIPTION,VALID_FROM,VALID_TO,VERSION,ORDER_RELEVANCE,PRIMARY_CUBE_ID,FOREIGN_CUBE_ID,CUBE_LINK_TYPE,JOIN_IDENTIFIER
,F_01_01_REF_FINREP_3_0:EQTY_FND_SCRTY:Equity instruments,,EQTY_FND_SCRTY:Equity instruments:EQTY_FND_SCRTY,EQTY_FND_SCRTY:TYP_INSTRMNT_241:Equity instruments:EQTY_FND_SCRTY,,,,,EQTY_FND_SCRTY,F_01_01_REF_FINREP_3_0,,Equity instruments
,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives,,EXCHNG_TRDBL_DRVTV_PSTN:Derivatives:EXCHNG_TRDBL_DRVTV_PSTN,EXCHNG_TRDBL_DRVTV_PSTN:TYP_INSTRMNT_310:Derivatives:EXCHNG_TRDBL_DRVTV_PSTN,,,,,EXCHNG_TRDBL_DRVTV_PSTN,F_01_01_REF_FINREP_3_0,,Derivatives
,F_01_01_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT,,,,,FNNCL_ASST_INSTRMNT,F_01_01_REF_FINREP_3_0,,Other Loans
,F_01_01_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT_DRVD_DT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,,,,,FNNCL_ASST_INSTRMNT_DRVD_DT,F_01_01_REF_FINREP_3_0,,Other Loans
,F_01_01_REF_FINREP_3_0:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS:Equity instruments,,EQTY_FND_SCRTY:Equity instruments:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,EQTY_FND_SCRTY:TYP_INSTRMNT_241:Equity instruments:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,,,,,LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,F_01_01_REF_FINREP_3_0,,Equity instruments
,F_01_01_REF_FINREP_3_0:LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,,,,,LNG_NN_NGTBL_SCRTY_PSTN,F_01_01_REF_FINREP_3_0,,Non Negotiable bonds
,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,,SCRTY_PSTN:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Debt securities
,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Non Negotiable bonds
,F_01_01_REF_FINREP_3_0:LN_EXCLDNG_RPRCHS_AGRMNT:Other Loans,,OTHR_LN:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,,,,,LN_EXCLDNG_RPRCHS_AGRMNT,F_01_01_REF_FINREP_3_0,,Other Loans
,F_01_01_REF_FINREP_3_0:OTC_DRVTV_INSTRMNT:Derivatives,,OTC_DRVTV_INSTRMNT:Derivatives:OTC_DRVTV_INSTRMNT,OTC_DRVTV_INSTRMNT:TYP_INSTRMNT_310:Derivatives:OTC_DRVTV_INSTRMNT,,,,,OTC_DRVTV_INSTRMNT,F_01_01_REF_FINREP_3_0,,Derivatives
