CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
SUBDOMAIN,,subdomain_id,,,,,,,,,,,,
SUBDOMAIN,,name,,,,,,,,,,,,
SUBDOMAIN,,is_listed,,,,,,,,,,,,
SUBDOMAIN,,code,,,,,,,,,,,,
SUBDOMAIN,,description,,,,,,,,,,,,
SUBDOMAIN,,is_natural,,,,,,,,,,,,
SUBDOMAIN_ENUMERATION,,id,,,,,,,,,,,,
SUBDOMAIN_ENUMERATION,,valid_from,,,,,,,,,,,,
SUBDOMAIN_ENUMERATION,,valid_to,,,,,,,,,,,,
SUBDOMAIN_ENUMERATION,,order,,,,,,,,,,,,
DOMAIN,,domain_id,,,,,,,,,,,,
DOMAIN,,name,,,,,,,,,,,,
DOMAIN,,is_enumerated,,,,,,,,,,,,
DOMAIN,,description,,,,,,,,,,,,
DOMAIN,,data_type,,,,,,,,,,,,
DOMAIN,,code,,,,,,,,,,,,
DOMAIN,,is_reference,,,,,,,,,,,,
FACET_COLLECTION,,code,,,,,,,,,,,,
FACET_COLLECTION,,facet_id,,,,,,,,,,,,
FACET_COLLECTION,,facet_value_type,,,,,,,,,,,,
FACET_COLLECTION,,name,,,,,,,,,,,,
MAINTENANCE_AGENCY,,maintenance_agency_id,,,,,,,,,,,,
MAINTENANCE_AGENCY,,code,,,,,,,,,,,,
MAINTENANCE_AGENCY,,name,,,,,,,,,,,,
MAINTENANCE_AGENCY,,description,,,,,,,,,,,,
MEMBER,,member_id,,,,,,,,,,,,
MEMBER,,code,,,,,,,,,,,,
MEMBER,,name,,,,,,,,,,,,
MEMBER,,description,,,,,,,,,,,,
MEMBER_HIERARCHY,,member_hierarchy_id,,,,,,,,,,,,
MEMBER_HIERARCHY,,code,,,,,,,,,,,,
MEMBER_HIERARCHY,,name,,,,,,,,,,,,
MEMBER_HIERARCHY,,description,,,,,,,,,,,,
MEMBER_HIERARCHY,,is_main_hierarchy,,,,,,,,,,,,
MEMBER_HIERARCHY_NODE,,id,,,,,,,,,,,,
MEMBER_HIERARCHY_NODE,,level,,,,,,,,,,,,
MEMBER_HIERARCHY_NODE,,comparator,,,,,,,,,,,,
MEMBER_HIERARCHY_NODE,,operator,,,,,,,,,,,,
MEMBER_HIERARCHY_NODE,,valid_from,,,,,,,,,,,,
MEMBER_HIERARCHY_NODE,,valid_to,,,,,,,,,,,,
VARIABLE,,variable_id,,,,,,,,,,,,
VARIABLE,,code,,,,,,,,,,,,
VARIABLE,,name,,,,,,,,,,,,
VARIABLE,,description,,,,,,,,,,,,
VARIABLE,,primary_concept,,,,,,,,,,,,
VARIABLE,,is_decomposed,,,,,,,,,,,,
VARIABLE_SET,,variable_set_id,,,,,,,,,,,,
VARIABLE_SET,,name,,,,,,,,,,,,
VARIABLE_SET,,code,,,,,,,,,,,,
VARIABLE_SET,,description,,,,,,,,,,,,
VARIABLE_SET_ENUMERATION,,id,,,,,,,,,,,,
VARIABLE_SET_ENUMERATION,,valid_from,,,,,,,,,,,,
VARIABLE_SET_ENUMERATION,,valid_to,,,,,,,,,,,,
VARIABLE_SET_ENUMERATION,,is_flow,,,,,,,,,,,,
VARIABLE_SET_ENUMERATION,,order,,,,,,,,,,,,
FRAMEWORK,,framework_id,,,,,,,,,,,,
FRAMEWORK,,name,,,,,,,,,,,,
FRAMEWORK,,code,,,,,,,,,,,,
FRAMEWORK,,description,,,,,,,,,,,,
FRAMEWORK,,framework_type,,,,,,,,,,,,
FRAMEWORK,,reporting_population,,,,,,,,,,,,
FRAMEWORK,,other_links,,,,,,,,,,,,
FRAMEWORK,,order,,,,,,,,,,,,
FRAMEWORK,,framework_status,,,,,,,,,,,,
MEMBER_MAPPING,,member_mapping_id,,,,,,,,,,,,
MEMBER_MAPPING,,name,,,,,,,,,,,,
MEMBER_MAPPING,,code,,,,,,,,,,,,
MEMBER_MAPPING_ITEM,,id,,,,,,,,,,,,
MEMBER_MAPPING_ITEM,,member_mapping_row,,,,,,,,,,,,
MEMBER_MAPPING_ITEM,,is_source,,,,,,,,,,,,
MEMBER_MAPPING_ITEM,,valid_from,,,,,,,,,,,,
MEMBER_MAPPING_ITEM,,valid_to,,,,,,,,,,,,
VARIABLE_MAPPING_ITEM,,id,,,,,,,,,,,,
VARIABLE_MAPPING_ITEM,,is_source,,,,,,,,,,,,
VARIABLE_MAPPING_ITEM,,valid_from,,,,,,,,,,,,
VARIABLE_MAPPING_ITEM,,valid_to,,,,,,,,,,,,
VARIABLE_MAPPING,,variable_mapping_id,,,,,,,,,,,,
VARIABLE_MAPPING,,code,,,,,,,,,,,,
VARIABLE_MAPPING,,name,,,,,,,,,,,,
MAPPING_TO_CUBE,,id,,,,,,,,,,,,
MAPPING_TO_CUBE,,cube_mapping_id,,,,,,,,,,,,
MAPPING_TO_CUBE,,valid_from,,,,,,,,,,,,
MAPPING_TO_CUBE,,valid_to,,,,,,,,,,,,
MAPPING_DEFINITION,,mapping_id,,,,,,,,,,,,
MAPPING_DEFINITION,,name,,,,,,,,,,,,
MAPPING_DEFINITION,,mapping_type,,,,,,,,,,,,
MAPPING_DEFINITION,,code,,,,,,,,,,,,
MAPPING_DEFINITION,,algorithm,,,,,,,,,,,,
AXIS,,axis_id,,,,,,,,,,,,
AXIS,,code,,,,,,,,,,,,
AXIS,,orientation,,,,,,,,,,,,
AXIS,,order,,,,,,,,,,,,
AXIS,,name,,,,,,,,,,,,
AXIS,,description,,,,,,,,,,,,
AXIS,,is_open_axis,,,,,,,,,,,,
AXIS_ORDINATE,,axis_ordinate_id,,,,,,,,,,,,
AXIS_ORDINATE,,is_abstract_header,,,,,,,,,,,,
AXIS_ORDINATE,,code,,,,,,,,,,,,
AXIS_ORDINATE,,order,,,,,,,,,,,,
AXIS_ORDINATE,,level,,,,,,,,,,,,
AXIS_ORDINATE,,path,,,,,,,,,,,,
AXIS_ORDINATE,,name,,,,,,,,,,,,
AXIS_ORDINATE,,description,,,,,,,,,,,,
CELL_POSITION,,id,,,,,,,,,,,,
ORDINATE_ITEM,,id,,,,,,,,,,,,
ORDINATE_ITEM,,member_hierarchy_valid_from,,,,,,,,,,,,
ORDINATE_ITEM,,is_starting_member_included,,,,,,,,,,,,
TABLE,,table_id,,,,,,,,,,,,
TABLE,,name,,,,,,,,,,,,
TABLE,,code,,,,,,,,,,,,
TABLE,,description,,,,,,,,,,,,
TABLE,,version,,,,,,,,,,,,
TABLE,,valid_from,,,,,,,,,,,,
TABLE,,valid_to,,,,,,,,,,,,
TABLE_CELL,,cell_id,,,,,,,,,,,,
TABLE_CELL,,is_shaded,,,,,,,,,,,,
TABLE_CELL,,table_cell_combination_id,,,,,,,,,,,,
TABLE_CELL,,system_data_code,,,,,,,,,,,,
TABLE_CELL,,name,,,,,,,,,,,,
CUBE_STRUCTURE,,cube_structure_id,,,,,,,,,,,,
CUBE_STRUCTURE,,name,,,,,,,,,,,,
CUBE_STRUCTURE,,code,,,,,,,,,,,,
CUBE_STRUCTURE,,description,,,,,,,,,,,,
CUBE_STRUCTURE,,valid_from,,,,,,,,,,,,
CUBE_STRUCTURE,,valid_to,,,,,,,,,,,,
CUBE_STRUCTURE,,version,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM,,id,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM,,cube_variable_code,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM,,role,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM,,order,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM,,dimension_type,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM,,is_flow,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM,,is_mandatory,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM,,description,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM,,is_implemented,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM,,is_identifier,,,,,,,,,,,,
CUBE,,cube_id,,,,,,,,,,,,
CUBE,,name,,,,,,,,,,,,
CUBE,,code,,,,,,,,,,,,
CUBE,,cube_type,,,,,,,,,,,,
CUBE,,is_allowed,,,,,,,,,,,,
CUBE,,valid_from,,,,,,,,,,,,
CUBE,,valid_to,,,,,,,,,,,,
CUBE,,version,,,,,,,,,,,,
CUBE,,description,,,,,,,,,,,,
CUBE,,published,,,,,,,,,,,,
CUBE,,dataset_url,,,,,,,,,,,,
CUBE,,filters,,,,,,,,,,,,
CUBE,,di_export,,,,,,,,,,,,
CUBE_LINK,,cube_link_id,,,,,,,,,,,,
CUBE_LINK,,code,,,,,,,,,,,,
CUBE_LINK,,name,,,,,,,,,,,,
CUBE_LINK,,description,,,,,,,,,,,,
CUBE_LINK,,valid_from,,,,,,,,,,,,
CUBE_LINK,,valid_to,,,,,,,,,,,,
CUBE_LINK,,version,,,,,,,,,,,,
CUBE_LINK,,order_relevance,,,,,,,,,,,,
CUBE_LINK,,cube_link_type,,,,,,,,,,,,
CUBE_LINK,,join_identifier,,,,,,,,,,,,
CUBE_STRUCTURE_ITEM_LINK,,cube_structure_item_link_id,,,,,,,,,,,,
COMBINATION,,combination_id,,,,,,,,,,,,
COMBINATION,,code,,,,,,,,,,,,
COMBINATION,,name,,,,,,,,,,,,
COMBINATION,,version,,,,,,,,,,,,
COMBINATION,,valid_from,,,,,,,,,,,,
COMBINATION,,valid_to,,,,,,,,,,,,
COMBINATION_ITEM,,id,,,,,,,,,,,,
CUBE_TO_COMBINATION,,id,,,,,,,,,,,,
MEMBER_LINK,,id,,,,,,,,,,,,
MEMBER_LINK,,is_linked,,,,,,,,,,,,
MEMBER_LINK,,valid_from,,,,,,,,,,,,
MEMBER_LINK,,valid_to,,,,,,,,,,,,
ABSTRCT_INSTRMNT_RL,,test_id,,,,,,,,,,,,
ABSTRCT_INSTRMNT_RL,,ABSTRCT_INSTRMNT_RL_uniqueID,,,,,,,,,,,,
ABSTRCT_INSTRMNT_RL,,ABSTRCT_INSTRMNT_RL_TYP,,,ABSTRCT_INSTRMNT_RL_TYP_domain,,,,,,,,,
GRP,,test_id,,,,,,,,,,,,
GRP,,GRP_uniqueID,,,,,,,,,,,,
GRP,,GRP_ID,,,,,,,,,,,,
GRP,,GRP_RFRNC_DT,,,,,,,,,,,,
GRP,,GRP_RPRTNG_AGNT_ID,,,,,,,,,,,,
GRP,,GRP_TYP,,,GRP_TYP_domain,,,,,,,,,
GRP,,test_id,,,,,,,,,,,,
GRP,,GRP_uniqueID,,,,,,,,,,,,
GRP,,GRP_ID,,,,,,,,,,,,
GRP,,GRP_RFRNC_DT,,,,,,,,,,,,
GRP,,GRP_RPRTNG_AGNT_ID,,,,,,,,,,,,
GRP,,GRP_TYP,,,,,,,,,,,,
INTRNL_GRP,,INTRNL_GRP_TYP,,,INTRN_GRP_TYP_domain,,,,,,,,,
GRP,,test_id,,,,,,,,,,,,
GRP,,GRP_uniqueID,,,,,,,,,,,,
GRP,,GRP_ID,,,,,,,,,,,,
GRP,,GRP_RFRNC_DT,,,,,,,,,,,,
GRP,,GRP_RPRTNG_AGNT_ID,,,,,,,,,,,,
GRP,,GRP_TYP,,,,,,,,,,,,
INTRNL_GRP,,INTRNL_GRP_TYP,,,,,,,,,,,,
INTRNL_CNSLDTN_GRP,,INTRNL_CNSLDTN_GRP_TYP,,,INTRNL_CNSLDTN_GRP_TYP_domain,,,,,,,,,
GRP,,test_id,,,,,,,,,,,,
GRP,,GRP_uniqueID,,,,,,,,,,,,
GRP,,GRP_ID,,,,,,,,,,,,
GRP,,GRP_RFRNC_DT,,,,,,,,,,,,
GRP,,GRP_RPRTNG_AGNT_ID,,,,,,,,,,,,
GRP,,GRP_TYP,,,,,,,,,,,,
INTRNL_GRP,,INTRNL_GRP_TYP,,,,,,,,,,,,
INTRNL_CNSLDTN_GRP,,INTRNL_CNSLDTN_GRP_TYP,,,,,,,,,,,,
Instrument_type_by_product,,test_id,,,,,,,,,,,,
Instrument_type_by_product,,Instrument_type_by_product_uniqueID,,,,,,,,,,,,
Instrument_type_by_product,,test_id,,,,,,,,,,,,
Instrument_type_by_product,,Instrument_type_by_product_uniqueID,,,,,,,,,,,,
LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNCE,,ACCNTNG_HDG_INDCTR,,,ACCNTNG_HDG_INDCTR_domain,,,,,,,,,
LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNCE,,LTGTN_STTS,,,LTGTN_STTS_domain,,,,,,,,,
LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNCE,,LN_AND_ADVNC_TYP,,,LN_AND_ADVNC_TYP_domain,,,,,,,,,
Instrument_type_by_product,,test_id,,,,,,,,,,,,
Instrument_type_by_product,,Instrument_type_by_product_uniqueID,,,,,,,,,,,,
LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNCE,,ACCNTNG_HDG_INDCTR,,,,,,,,,,,,
