MAINTENANCE_AGENCY_ID,SUBDOMAIN_ID,NAME,DOMAIN_ID,IS_LISTED,CODE,FACET_ID,DESCRIPTION,IS_NATURAL
,ACCNTNG_CLSSFCTN_ASSTS_domain,,ACCNTNG_CLSSFCTN,,,,,
,ACCNTNG_CLSSFCTN_LBLTS_domain,,ACCNTNG_CLSSFCTN,,,,,
,ACCNTNG_CNSLDTN_LVL_domain,,ACCNTNG_CNSLDTN_LVL,,,,,
,ACCNTNG_FRMWRK_domain,,ACCNTNG_FRMWRK,,,,,
,ACCNTNG_HDG_INDCTR_domain,,ACCNTNG_HDG_INDCTR,,,,,
,ACCRD_INTRST_MRKT_VL_INDCTR_SHSG4_ISIN_ACCRD_INTRST_MRKT_VL_INDCTR_REF_domain,,ACCRD_INTRST_MRKT_VL_INDCTR,,,,,
,ADVNC_TYP_domain,,TYP_INSTRMNT,,,,,
,AGRCLTR_LND_INDCTR_domain,,TYP_PRTCTN,,,,,
,APPRCH_CRDT_QLTY_STTS_domain,,APPRCH_CRDT_QLTY_STTS,,,,,
,APPRCH_PRDNTL_PRPSS_domain,,APPRCH_PRDNTL_PRPSS,,,,,
,ASST_ENCMBRNC_SRC_INDCTR_domain,,ASST_ENCMBRNC_SRC_INDCTR,,,,,
,ASST_PL_INSTRMNT_ASSGNMNT_TYP_domain,,ASST_PL_INSTRMNT_ASSGNMNT_TYP,,,,,
,ASST_PL_TYP_domain,,ASST_PL_TYP,,,,,
,AVLBL_ENCMBRNC_INDCTR_domain,,AVLBL_ENCMBRNC,,,,,
,CLLTRL_INSTRMNT_RS_INDCTR_domain,,CLLTRL_INSTRMNT_RS_INDCTR,,,,,
,CLLTRL_NN_FNNCL_ASST_ASSGNMNT_TYP_domain,,CLLTRL_NN_FNNCL_ASST_ASSGNMNT_TYP,,,,,
,CLLTRL_OBTND_TYP_domain,,TYP_PRTCTN,,,,,
,CLLTRL_RCVD_INSTRMNT_TYP_domain,,ABSTRCT_INSTRMNT_RL_TYP,,,,,
,CLLTRL_RL_TYP_domain,,CLLTRL_RL_TYP,,,,,
,CLLTRL_RS_INDCTR_domain,,CLLTRL_RS_INDCTR,,,,,
,CLLTRL_TYP_domain,,TYP_PRTCTN,,,,,
,CMMDTY_CLLTRL_TYP_domain,,TYP_PRTCTN,,,,,
,CMMDTY_TYP_FRTB_domain,,CMMDTY_TYP_FRTB,,,,,
,CMMRCL_RL_ESTT_LN_INDCTR_domain,,CMMRCL_RL_ESTT_LN_INDCTR,,,,,
,CMMRCL_RL_ESTT_OFFC_CMMRCL_PRMS_CLLTRL_TYP_domain,,TYP_PRTCTN,,,,,
,CNSLDTN_MTHD_FLL_domain,,CNSLDTN_MTHD,,,,,
,CNTRLLD_NTNL_FRGN_BDS_domain,,INSTTTNL_SCTR_CNTRL,,,,,
,CNTRL_BNK_TYP_domain,,PRTY_TYP,,,,,
,CRDT_FCLTY_ENTTY_RL_ASSGNMNT_TYP_domain,,CRDT_FCLTY_ENTTY_RL_ASSGNMNT_TYP,,,,,
,CRPRTN_TYP_domain,,PRTY_TYP,,,,,
,CRRNCY_SHSG4_ISIN_1_CRRNCY_TRNSCTN_RPRTD_REF_domain,,CRRNCY,,,,,
,CSH_LG_DRCTN_INDCTR_domain,,RPRCHS_AGRMNT_TYP,,,,,
,CSR_CRV_TYP_domain,,CSR_CRV_TYP,,,,,
,CST_BSD_MTHD_LCM_INDCTR_domain,,CST_BSD_MTHD_LCM_INDCTR,,,,,
,DBT_FNNCNG_ANCRDT_INDCTR_domain,,DBT_FNNCNG_ANCRDT_INDCTR,,,,,
,DBT_SCRTY_ACCNTNG_STNDRD_TYP_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DBT_SCRTY_ISSD_PRDNTL_PRTFL_TYP_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DBT_SCRTY_ISSD_TRDNG_BK_ACCNTNG_STNDRD_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DBT_SCRTY_ISSD_TYP_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DBT_SCRTY_PRFRMNG_STTS_TYP_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DBT_SCRTY_TYP_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DBT_SCRTY_WTH_UNDRLYNG_ASSTS_TYP_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DFLT_STTS_TYP_domain,,CRDT_QLTY,,,,,
,DFLT_STTS_domain,,CRDT_QLTY,,,,,
,DMSTC_ACTVT_INDCTR_domain,,DMSTC_ACTVT_INDCTR,,,,,
,DMSTC_BRNCH_INDCTR_domain,,PRTY_TYP,,,,,
,DMSTC_INSTTTNL_UNT_INDCTR_domain,,GRP_TYP,,,,,
,DPST_TYP_domain,,TYP_INSTRMNT,,,,,
,DRVD_DFLT_STTS_domain,,CRDT_QLTY,,,,,
,DT_OPNNG_BLNC_F_24_01_INTL_RCGNTN_DT_REF_domain,,,,,,,
,ECAI_ECA_domain,,ECAI_ECA,,,,,
,ECNMY_domain,,ECNMY,,,,,
,ELGBL_CNTRL_BNK_FNDNG_domain,,ELGBL_CNTRL_BNK_FNDNG,,,,,
,ELGBL_GRNT_INDCTR_domain,,ELGBL_GRNT_INDCTR,,,,,
,EMPLY_BNFT_TYP_domain,,TYP_ACCNTNG_ITM,,,,,
,ENCMBRD_ASST_INDCTR_domain,,SRC_ENCMBRNC,,,,,
,ENTRPRS_INDCTR_domain,,ENTRPRS_INDCTR,,,,,
,ENTTY_GRP_RL_TYP_domain,,ENTTY_RL_TYP,,,,,
,ENTTY_RL_TYP_domain,,ENTTY_RL_TYP,,,,,
,ENTTY_TRNSCTN_RL_TYP_domain,,ENTTY_RL_TYP,,,,,
,EQTY_FND_SCRTY_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,EQUTY_FCTR_TYP_domain,,EQUTY_FCTR_TYP,,,,,
,ERLY_RDMPTN_INCLSN_INDCTR_SHSG4_ISIN_ERLY_RDMPTN_INCLSN_INDCTR_REF_domain,,ERLY_RDMPTN_INCLSN_INDCTR,,,,,
,EXCHNG_TRDBL_DRVTV_ASST_LBLTY_PSTN_RL_TYP_domain,,EXCHNG_TRDBL_DRVTV_PSTN_RL_TYP,,,,,
,EXCHNG_TRDBL_DRVTV_ASST_PSTN_TYP_domain,,EXCHNG_TRDBL_DRVTV_PSTN_RL_TYP,,,,,
